Source,Target,Weight,Type
UF00001312,UF00072764,0.9772151708602905,directed
UF00001347,UF00072765,0.959182620048523,directed
UF00023580,UF00073628,0.9523410797119141,directed
UF00024837,UF00028228,0.9932087063789368,directed
UF00073570,UF00026210,0.9759431481361389,directed
UF00026211,UF00026212,0.9897281527519226,directed
UF00073550,UF00026211,0.9558728933334351,directed
UF00026212,UF00026211,0.9897281527519226,directed
UF00073550,UF00026212,0.9577142000198364,directed
UF00026664,UF00096274,0.952326774597168,directed
UF00027951,UF00027938,0.9930208921432495,directed
UF00027951,UF00027938,0.9930208921432495,directed
UF00028212,UF00073589,0.9734782576560974,directed
UF00028212,UF00073608,0.9500285387039185,directed
UF00024837,UF00028228,0.9932087063789368,directed
UF00073555,UF00028231,0.9784558415412903,directed
UF00028231,UF00073605,0.9756603240966797,directed
UF00073544,UF00028231,0.974272608757019,directed
UF00073573,UF00028328,0.9792604446411133,directed
UF00028328,UF00049557,0.9778007864952087,directed
UF00081205,UF00028328,0.9776376485824585,directed
UF00081205,UF00049557,0.9919143915176392,directed
UF00073573,UF00049557,0.9887601137161255,directed
UF00028328,UF00049557,0.9778007864952087,directed
UF00049557,UF00049816,0.9570906758308411,directed
UF00081205,UF00049816,0.9649637937545776,directed
UF00073573,UF00049816,0.9599729180335999,directed
UF00049816,UF00049557,0.9570906758308411,directed
UF00053431,UF00083210,0.9662891626358032,directed
UF00072752,UF00072756,0.9929260015487671,directed
UF00072754,UF00072781,0.973609983921051,directed
UF00072754,UF00073585,0.9641132950782776,directed
UF00072754,UF00072795,0.9639080762863159,directed
UF00072754,UF00072807,0.9588310122489929,directed
UF00072754,UF00073644,0.9584641456604004,directed
UF00072752,UF00072756,0.9929259419441223,directed
UF00072763,UF00072790,0.9502952098846436,directed
UF00072764,UF00001312,0.9772151708602905,directed
UF00001347,UF00072765,0.959182620048523,directed
UF00072768,UF00072811,0.9782323837280273,directed
UF00072812,UF00072770,0.990652859210968,directed
UF00072794,UF00072770,0.9902991056442261,directed
UF00072776,UF00072777,0.973468542098999,directed
UF00072776,UF00072777,0.973468542098999,directed
UF00072781,UF00072795,0.980829119682312,directed
UF00072781,UF00073644,0.9778754115104675,directed
UF00072781,UF00073585,0.9777753949165344,directed
UF00072781,UF00072807,0.9759686589241028,directed
UF00072754,UF00072781,0.9736099243164062,directed
UF00072781,UF00072785,0.9629718065261841,directed
UF00072781,UF00072790,0.9560482501983643,directed
UF00072782,UF00072788,0.9906779527664185,directed
UF00072782,UF00072783,0.9539027214050293,directed
UF00072783,UF00072788,0.9624044895172119,directed
UF00072783,UF00072782,0.9539027214050293,directed
UF00072785,UF00072795,0.9818580150604248,directed
UF00072785,UF00073585,0.9813522100448608,directed
UF00072785,UF00073644,0.9807636737823486,directed
UF00072785,UF00072807,0.9795194268226624,directed
UF00072781,UF00072785,0.9629717469215393,directed
UF00072787,UF00072813,0.9890646934509277,directed
UF00072782,UF00072788,0.9906779527664185,directed
UF00072783,UF00072788,0.9624044895172119,directed
UF00072781,UF00072790,0.9560482501983643,directed
UF00072763,UF00072790,0.9502952098846436,directed
UF00072792,UF00072799,0.9698073267936707,directed
UF00072794,UF00072812,0.991313099861145,directed
UF00072794,UF00072770,0.9902991056442261,directed
UF00072795,UF00073585,0.9910062551498413,directed
UF00072795,UF00073644,0.9909395575523376,directed
UF00072795,UF00072807,0.9899646639823914,directed
UF00072785,UF00072795,0.9818580150604248,directed
UF00072781,UF00072795,0.9808290600776672,directed
UF00072754,UF00072795,0.9639082551002502,directed
UF00072792,UF00072799,0.9698073267936707,directed
UF00073644,UF00072807,0.9909869432449341,directed
UF00073585,UF00072807,0.9901361465454102,directed
UF00072795,UF00072807,0.9899646043777466,directed
UF00072785,UF00072807,0.9795193076133728,directed
UF00072781,UF00072807,0.975968599319458,directed
UF00072754,UF00072807,0.9588308930397034,directed
UF00072810,UF00073564,0.9727809429168701,directed
UF00072810,UF00073566,0.9609214067459106,directed
UF00072768,UF00072811,0.9782322645187378,directed
UF00072794,UF00072812,0.9913130402565002,directed
UF00072812,UF00072770,0.9906527996063232,directed
UF00072787,UF00072813,0.9890647530555725,directed
UF00073535,UF00073587,0.9753262996673584,directed
UF00073535,UF00073578,0.962367057800293,directed
UF00073536,UF00073537,0.9827591776847839,directed
UF00073537,UF00073536,0.9827591776847839,directed
UF00073544,UF00073555,0.989290714263916,directed
UF00073544,UF00073605,0.9847219586372375,directed
UF00073544,UF00028231,0.974272608757019,directed
UF00073545,UF00073558,0.9637288451194763,directed
UF00073545,UF00073548,0.9596632122993469,directed
UF00073545,UF00073563,0.9578410387039185,directed
UF00073547,UF00073550,0.9805170297622681,directed
UF00073548,UF00073563,0.9808281064033508,directed
UF00073548,UF00073558,0.9772470593452454,directed
UF00073545,UF00073548,0.9596632719039917,directed
UF00073547,UF00073550,0.9805169105529785,directed
UF00073550,UF00026212,0.9577140808105469,directed
UF00073550,UF00026211,0.9558728933334351,directed
UF00073544,UF00073555,0.989290714263916,directed
UF00073555,UF00073605,0.983173668384552,directed
UF00073555,UF00028231,0.9784558415412903,directed
UF00073556,UF00073610,0.976516604423523,directed
UF00073556,UF00073557,0.9724030494689941,directed
UF00073556,UF00073625,0.9548450112342834,directed
UF00073556,UF00073557,0.9724029302597046,directed
UF00073557,UF00073610,0.9700092077255249,directed
UF00073557,UF00073625,0.9521099328994751,directed
UF00073548,UF00073558,0.9772471189498901,directed
UF00073558,UF00073563,0.9756216406822205,directed
UF00073545,UF00073558,0.9637288451194763,directed
UF00073559,UF00073579,0.9848912954330444,directed
UF00073548,UF00073563,0.9808281660079956,directed
UF00073558,UF00073563,0.9756216406822205,directed
UF00073545,UF00073563,0.9578410387039185,directed
UF00072810,UF00073564,0.9727809429168701,directed
UF00072810,UF00073566,0.9609214067459106,directed
UF00073567,UF00074476,0.9571665525436401,directed
UF00073569,UF00073574,0.9686911106109619,directed
UF00073570,UF00026210,0.9759432077407837,directed
UF00073573,UF00081205,0.9888597726821899,directed
UF00073573,UF00049557,0.9887601137161255,directed
UF00073573,UF00028328,0.9792604446411133,directed
UF00073573,UF00049816,0.9599729180335999,directed
UF00073574,UF00073569,0.9686909914016724,directed
UF00073578,UF00073587,0.9693007469177246,directed
UF00073535,UF00073578,0.962367057800293,directed
UF00073559,UF00073579,0.9848912954330444,directed
UF00073644,UF00073585,0.9918325543403625,directed
UF00072795,UF00073585,0.9910062551498413,directed
UF00073585,UF00072807,0.9901362061500549,directed
UF00072785,UF00073585,0.9813522100448608,directed
UF00072781,UF00073585,0.9777752757072449,directed
UF00072754,UF00073585,0.9641133546829224,directed
UF00073535,UF00073587,0.9753262996673584,directed
UF00073578,UF00073587,0.9693007469177246,directed
UF00028212,UF00073589,0.9734782576560974,directed
UF00073591,UF00073615,0.9641729593276978,directed
UF00073591,UF00073618,0.9637646675109863,directed
UF00073591,UF00073647,0.9629550576210022,directed
UF00073602,UF00073612,0.9856693744659424,directed
UF00073602,UF00073616,0.977945864200592,directed
UF00073544,UF00073605,0.9847219586372375,directed
UF00073555,UF00073605,0.983173668384552,directed
UF00028231,UF00073605,0.9756603240966797,directed
UF00028212,UF00073608,0.9500284194946289,directed
UF00073556,UF00073610,0.976516604423523,directed
UF00073557,UF00073610,0.9700092673301697,directed
UF00073610,UF00073625,0.9553649425506592,directed
UF00073602,UF00073612,0.9856693148612976,directed
UF00073612,UF00073616,0.981515109539032,directed
UF00073615,UF00073618,0.9756567478179932,directed
UF00073647,UF00073615,0.9733313322067261,directed
UF00073591,UF00073615,0.9641729593276978,directed
UF00073646,UF00073615,0.957512617111206,directed
UF00073612,UF00073616,0.9815151691436768,directed
UF00073602,UF00073616,0.977945864200592,directed
UF00073618,UF00073615,0.9756567478179932,directed
UF00073647,UF00073618,0.97394198179245,directed
UF00073591,UF00073618,0.9637646675109863,directed
UF00073646,UF00073618,0.9559584856033325,directed
UF00073622,UF00074443,0.9721860289573669,directed
UF00073622,UF00074457,0.9608985185623169,directed
UF00073610,UF00073625,0.9553649425506592,directed
UF00073556,UF00073625,0.9548449516296387,directed
UF00073557,UF00073625,0.9521099328994751,directed
UF00023580,UF00073628,0.9523411393165588,directed
UF00073635,UF00082141,0.9746531248092651,directed
UF00073644,UF00073585,0.9918325543403625,directed
UF00073644,UF00072807,0.9909869432449341,directed
UF00072795,UF00073644,0.9909395575523376,directed
UF00072785,UF00073644,0.9807636737823486,directed
UF00072781,UF00073644,0.9778753519058228,directed
UF00072754,UF00073644,0.9584642052650452,directed
