Source,Target,Weight,Type
AA00021431,AA00021433,0.9580700993537903,directed
AA00021431,AA00021433,0.9580701589584351,directed
UF00074452,canonical2,0.9834285974502563,directed
canonical2,UF00074471,0.9829551577568054,directed
canonical2,UF00073639,0.9824480414390564,directed
UF00026212,canonical2,0.982319712638855,directed
UF00026211,canonical2,0.9819830656051636,directed
canonical2,UF00073640,0.981925368309021,directed
UF00026210,canonical2,0.9809130430221558,directed
UF00049560,canonical2,0.9807303547859192,directed
UF00073602,canonical2,0.9807113409042358,directed
UF00053424,canonical2,0.980553150177002,directed
UF00073546,canonical2,0.9797042608261108,directed
UF00073591,canonical2,0.9796218276023865,directed
UF00073612,canonical2,0.9795065522193909,directed
UF00074461,canonical2,0.9795011281967163,directed
UF00074442,canonical2,0.9791247844696045,directed
UF00028212,canonical2,0.9788526296615601,directed
UF00073615,canonical2,0.9784238934516907,directed
UF00073550,canonical2,0.977493405342102,directed
UF00072796,canonical2,0.9774774312973022,directed
canonical2,UF00073642,0.9774501919746399,directed
UF00073606,canonical2,0.9774410724639893,directed
UF00073570,canonical2,0.9765915274620056,directed
UF00073579,canonical2,0.9762817621231079,directed
UF00073590,canonical2,0.9762018918991089,directed
UF00073618,canonical2,0.9761158227920532,directed
UF00073559,canonical2,0.9758769869804382,directed
UF00073555,canonical2,0.9756571054458618,directed
UF00073567,canonical2,0.975561797618866,directed
UF00073616,canonical2,0.9754159450531006,directed
canonical2,UF00074475,0.9754155278205872,directed
UF00073629,canonical2,0.9752148389816284,directed
UF00074464,canonical2,0.9751413464546204,directed
UF00073563,canonical2,0.9749264717102051,directed
UF00073571,canonical2,0.9748000502586365,directed
UF00073589,canonical2,0.9747944474220276,directed
UF00073545,canonical2,0.9747768044471741,directed
UF00073548,canonical2,0.9747422933578491,directed
canonical2,UF00074476,0.9745863080024719,directed
UF00073613,canonical2,0.9744786620140076,directed
UF00073647,canonical2,0.9744545221328735,directed
UF00073633,canonical2,0.9742341637611389,directed
UF00073628,canonical2,0.9740327000617981,directed
UF00073607,canonical2,0.9740092754364014,directed
canonical2,UF00074477,0.973642885684967,directed
UF00073622,canonical2,0.9735804796218872,directed
UF00073584,canonical2,0.9735696315765381,directed
UF00073604,canonical2,0.9735293984413147,directed
UF00072784,canonical2,0.9734399318695068,directed
UF00028231,canonical2,0.9732885360717773,directed
UF00074443,canonical2,0.9730857014656067,directed
UF00074450,canonical2,0.973035454750061,directed
UF00073544,canonical2,0.9729064702987671,directed
UF00072767,canonical2,0.9727621078491211,directed
UF00073566,canonical2,0.972608208656311,directed
UF00072765,canonical2,0.9724220037460327,directed
UF00073547,canonical2,0.9720229506492615,directed
UF00073608,canonical2,0.9717278480529785,directed
UF00073605,canonical2,0.9716395139694214,directed
UF00072810,canonical2,0.9716238379478455,directed
