Source,Target,Weight,Type
UF00074452,canonical2,0.9757398366928101,directed
UF00049560,canonical2,0.974867045879364,directed
UF00073615,canonical2,0.9740680456161499,directed
UF00074442,canonical2,0.9721457958221436,directed
UF00073602,canonical2,0.9720417261123657,directed
UF00073546,canonical2,0.9717764854431152,directed
UF00026211,canonical2,0.9717124700546265,directed
UF00073591,canonical2,0.971017599105835,directed
UF00073606,canonical2,0.9707353115081787,directed
UF00026212,canonical2,0.9702545404434204,directed
UF00072796,canonical2,0.9698778390884399,directed
canonical2,UF00074471,0.9685370326042175,directed
UF00026578,canonical2,0.9683020114898682,directed
canonical2,UF00073639,0.9682058095932007,directed
UF00073612,canonical2,0.9680249691009521,directed
UF00073563,canonical2,0.9679387807846069,directed
UF00073647,canonical2,0.9678567051887512,directed
canonical2,UF00073642,0.9671444892883301,directed
UF00073548,canonical2,0.9666625261306763,directed
canonical2,UF00073640,0.9664667844772339,directed
UF00073607,canonical2,0.9662627577781677,directed
UF00073545,canonical2,0.9662203788757324,directed
UF00053424,canonical2,0.9655259847640991,directed
UF00073618,canonical2,0.9655036926269531,directed
UF00073590,canonical2,0.9651399850845337,directed
UF00073559,canonical2,0.9649456739425659,directed
UF00074450,canonical2,0.9646166563034058,directed
UF00072802,canonical2,0.9645950794219971,directed
UF00096278,canonical2,0.9644358158111572,directed
UF00073616,canonical2,0.9644066095352173,directed
UF00073579,canonical2,0.9643843173980713,directed
UF00073604,canonical2,0.9639310836791992,directed
UF00072765,canonical2,0.9637717008590698,directed
canonical2,UF00074475,0.9635820388793945,directed
UF00073550,canonical2,0.9627290964126587,directed
UF00072767,canonical2,0.9625769853591919,directed
UF00026210,canonical2,0.9622517824172974,directed
UF00072778,canonical2,0.9621264934539795,directed
UF00074462,canonical2,0.961726188659668,directed
UF00028212,canonical2,0.9614235162734985,directed
UF00073547,canonical2,0.9611461162567139,directed
UF00073555,canonical2,0.9610973596572876,directed
UF00074443,canonical2,0.9605849981307983,directed
UF00073558,canonical2,0.9604889154434204,directed
UF00073628,canonical2,0.9597725868225098,directed
UF00073567,canonical2,0.9593141078948975,directed
UF00072766,canonical2,0.958763837814331,directed
UF00073629,canonical2,0.9587032794952393,directed
UF00073622,canonical2,0.9583749771118164,directed
UF00073637,canonical2,0.9579649567604065,directed
UF00072784,canonical2,0.957798957824707,directed
UF00073586,canonical2,0.9569347500801086,directed
canonical2,UF00074476,0.9564672708511353,directed
UF00073584,canonical2,0.9562357068061829,directed
UF00001347,canonical2,0.9557290077209473,directed
UF00074461,canonical2,0.9552466869354248,directed
canonical2,UF00074456,0.9551527500152588,directed
UF00073571,canonical2,0.954892635345459,directed
UF00074446,canonical2,0.9546501040458679,directed
UF00073570,canonical2,0.9532771706581116,directed
UF00073633,canonical2,0.953119158744812,directed
UF00027048,canonical2,0.9530351161956787,directed
canonical2,UF00074478,0.9524602890014648,directed
canonical2,UF00074474,0.9518262147903442,directed
UF00073599,canonical2,0.9516983032226562,directed
UF00073608,canonical2,0.9513728618621826,directed
UF00074457,canonical2,0.9512538313865662,directed
UF00073543,canonical2,0.9507948160171509,directed
UF00073544,canonical2,0.9507014751434326,directed
UF00073589,canonical2,0.9505259990692139,directed
UF00073583,canonical2,0.9501280784606934,directed
canonical2,UF00074477,0.950032114982605,directed
first_ed,UF00073561,0.9535495638847351,directed
UF00001286,UF00072747,0.9502341151237488,directed
UF00001312,UF00072764,0.9731036424636841,directed
UF00072748,UF00001312,0.966330885887146,directed
UF00001312,UF00072768,0.9647976160049438,directed
UF00001312,UF00072811,0.9644347429275513,directed
UF00001345,UF00072757,0.950814425945282,directed
UF00001347,UF00072765,0.98215252161026,directed
UF00001347,UF00074442,0.978104829788208,directed
UF00001347,UF00073616,0.9773721694946289,directed
UF00001347,UF00073559,0.9769306182861328,directed
UF00001347,UF00073602,0.9768842458724976,directed
UF00001347,UF00073604,0.976768970489502,directed
UF00001347,UF00072802,0.9767394065856934,directed
UF00001347,UF00073567,0.9766979217529297,directed
UF00001347,UF00073607,0.9757905602455139,directed
UF00001347,UF00072751,0.9756880402565002,directed
UF00001347,UF00073583,0.9756625294685364,directed
UF00001347,UF00073612,0.9755642414093018,directed
UF00001347,UF00049560,0.9753471612930298,directed
UF00001347,UF00073563,0.9750512838363647,directed
UF00001347,UF00072766,0.9748669862747192,directed
UF00001347,UF00074471,0.9744919538497925,directed
UF00001347,UF00072767,0.974471926689148,directed
UF00001347,UF00073579,0.9743541479110718,directed
UF00001347,UF00073639,0.974254846572876,directed
UF00001347,UF00073640,0.9741508960723877,directed
UF00001347,UF00072749,0.9738103151321411,directed
UF00001347,UF00074474,0.9736234545707703,directed
UF00001347,UF00073571,0.9735254049301147,directed
UF00001347,UF00074475,0.9734183549880981,directed
UF00001347,UF00073606,0.9732718467712402,directed
UF00001347,UF00026211,0.9732097387313843,directed
UF00001347,UF00073548,0.9730843901634216,directed
UF00001347,UF00073591,0.9723221063613892,directed
UF00001347,UF00072796,0.9723047018051147,directed
UF00001347,UF00026212,0.9721406102180481,directed
UF00001347,UF00074452,0.9719207882881165,directed
UF00001347,UF00073584,0.9716262817382812,directed
UF00001347,UF00073615,0.9715036153793335,directed
UF00001347,UF00073558,0.9712889194488525,directed
UF00001347,UF00073586,0.9703241586685181,directed
UF00001347,UF00073642,0.970298171043396,directed
UF00001347,UF00074476,0.9702544212341309,directed
UF00001347,UF00073543,0.9700940251350403,directed
UF00001347,UF00073546,0.9700208306312561,directed
UF00001347,UF00073622,0.9686422348022461,directed
UF00001347,UF00073647,0.9682496786117554,directed
UF00001347,UF00073547,0.9681335687637329,directed
UF00001347,UF00072784,0.9681203365325928,directed
UF00001347,UF00073550,0.9679985046386719,directed
UF00001347,UF00074478,0.9677293300628662,directed
UF00001347,UF00073545,0.9676504135131836,directed
UF00001347,UF00074443,0.966753363609314,directed
UF00001347,UF00073628,0.9666955471038818,directed
UF00001347,UF00073599,0.9664565920829773,directed
UF00001347,UF00073555,0.9663254618644714,directed
UF00001347,UF00072778,0.9660567045211792,directed
UF00001347,UF00073538,0.9656888246536255,directed
UF00001347,UF00073590,0.9656013250350952,directed
UF00001347,UF00072776,0.9653213620185852,directed
UF00001347,UF00028212,0.9650050401687622,directed
UF00001347,UF00073618,0.9648311138153076,directed
UF00001347,UF00073570,0.9645023345947266,directed
UF00001347,UF00074457,0.9642497301101685,directed
UF00001347,UF00053424,0.9640101194381714,directed
UF00001347,UF00026210,0.9638511538505554,directed
UF00001347,UF00026578,0.9633872509002686,directed
UF00001347,UF00073629,0.9632238149642944,directed
UF00001347,UF00074450,0.963139533996582,directed
UF00001347,UF00074454,0.9624019265174866,directed
UF00001347,UF00096278,0.9621033072471619,directed
UF00001347,UF00074456,0.961732804775238,directed
UF00001347,UF00074462,0.9611368179321289,directed
UF00001347,UF00027048,0.9601567387580872,directed
UF00001347,UF00074477,0.9592738151550293,directed
UF00001347,UF00073589,0.9577370882034302,directed
UF00001347,UF00073637,0.9574667811393738,directed
UF00001347,UF00072810,0.9561353921890259,directed
UF00001347,UF00073613,0.9558972120285034,directed
UF00001347,UF00073575,0.9558788537979126,directed
UF00001347,canonical2,0.9557290077209473,directed
UF00001347,UF00073646,0.9557172060012817,directed
UF00001347,UF00073544,0.9549347758293152,directed
UF00001347,UF00073605,0.9540817737579346,directed
UF00001347,UF00028231,0.9536197781562805,directed
UF00001347,UF00074461,0.9519867897033691,directed
UF00001347,UF00072757,0.9519809484481812,directed
UF00001347,UF00072798,0.9515858888626099,directed
UF00001347,UF00073569,0.9512984156608582,directed
UF00001347,UF00073592,0.9511058330535889,directed
UF00001347,UF00073633,0.950859546661377,directed
UF00001347,UF00072773,0.9500826597213745,directed
UF00001347,UF00074446,0.9500770568847656,directed
UF00023580,UF00073628,0.9557591676712036,directed
UF00024837,UF00028228,0.9877201318740845,directed
UF00073570,UF00026210,0.977614164352417,directed
UF00073602,UF00026210,0.9747333526611328,directed
UF00026210,UF00074442,0.9743887782096863,directed
UF00026210,UF00074452,0.9740176200866699,directed
UF00053424,UF00026210,0.9739995002746582,directed
UF00073607,UF00026210,0.9737085103988647,directed
UF00073606,UF00026210,0.973619818687439,directed
UF00026210,UF00074471,0.9735943078994751,directed
UF00026211,UF00026210,0.9730876684188843,directed
UF00026210,UF00073639,0.9725709557533264,directed
UF00026210,UF00073642,0.9724318981170654,directed
UF00026212,UF00026210,0.9721493124961853,directed
UF00073604,UF00026210,0.9720430970191956,directed
UF00049560,UF00026210,0.9717191457748413,directed
UF00026210,UF00073640,0.9715536832809448,directed
UF00072802,UF00026210,0.97144615650177,directed
UF00026210,UF00073615,0.9705480337142944,directed
UF00026210,UF00073612,0.9698216915130615,directed
UF00073559,UF00026210,0.9690889716148376,directed
UF00026210,UF00074475,0.9687962532043457,directed
UF00073567,UF00026210,0.9687085151672363,directed
UF00026210,UF00073616,0.9686710834503174,directed
UF00073591,UF00026210,0.968637228012085,directed
UF00073563,UF00026210,0.9683607816696167,directed
UF00072765,UF00026210,0.9681082367897034,directed
UF00072796,UF00026210,0.9680891633033752,directed
UF00073546,UF00026210,0.9676328301429749,directed
UF00073579,UF00026210,0.9668951034545898,directed
UF00072767,UF00026210,0.9668558835983276,directed
UF00073555,UF00026210,0.9668527245521545,directed
UF00026210,UF00074456,0.9667900800704956,directed
UF00026210,UF00073628,0.9664366841316223,directed
UF00026210,UF00074461,0.9659881591796875,directed
UF00073590,UF00026210,0.965824544429779,directed
UF00026210,UF00073622,0.9654861092567444,directed
UF00026210,UF00074477,0.9654655456542969,directed
UF00026210,UF00074478,0.9654475450515747,directed
UF00073545,UF00026210,0.9651415944099426,directed
UF00026210,UF00074476,0.9650276899337769,directed
UF00026210,UF00074443,0.9644110798835754,directed
UF00073547,UF00026210,0.9642003774642944,directed
UF00073550,UF00026210,0.9641088247299194,directed
UF00001347,UF00026210,0.9638511538505554,directed
UF00026210,UF00073629,0.9638291597366333,directed
UF00026210,UF00073647,0.9637346863746643,directed
UF00072766,UF00026210,0.9636021852493286,directed
UF00073571,UF00026210,0.9635000824928284,directed
UF00026210,UF00073633,0.9629948139190674,directed
UF00073548,UF00026210,0.9629299640655518,directed
UF00026210,UF00074474,0.9626595973968506,directed
UF00073544,UF00026210,0.9625926613807678,directed
UF00073586,UF00026210,0.96233069896698,directed
UF00026210,canonical2,0.9622517824172974,directed
UF00072784,UF00026210,0.9622514843940735,directed
UF00072810,UF00026210,0.9622297286987305,directed
UF00026210,UF00073618,0.9612245559692383,directed
UF00028212,UF00026210,0.9612008929252625,directed
UF00073543,UF00026210,0.9607512950897217,directed
UF00073605,UF00026210,0.9607226848602295,directed
UF00026210,UF00074450,0.9600080251693726,directed
UF00026210,UF00073599,0.959900975227356,directed
UF00073538,UF00026210,0.9597926139831543,directed
UF00026210,UF00073637,0.9595140218734741,directed
UF00026578,UF00026210,0.9590453505516052,directed
UF00073584,UF00026210,0.9589042067527771,directed
UF00072776,UF00026210,0.9588941335678101,directed
UF00072751,UF00026210,0.9587045907974243,directed
UF00028231,UF00026210,0.9586129188537598,directed
UF00026210,UF00096278,0.9585355520248413,directed
UF00073583,UF00026210,0.9581601619720459,directed
UF00073558,UF00026210,0.9580470323562622,directed
UF00072778,UF00026210,0.9567714333534241,directed
UF00026210,UF00074462,0.9561452865600586,directed
UF00072749,UF00026210,0.9560831189155579,directed
UF00073566,UF00026210,0.9550573825836182,directed
UF00073540,UF00026210,0.9550291299819946,directed
UF00026210,UF00074457,0.954154372215271,directed
