Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
AA00021431,,,0,1,1,0,0.95807,0.95807,1,1,1,0,0
AA00021433,,,1,0,1,0.95807,0,0.95807,0,0,0,0,0.000296
UF00074452,,,105,20,125,102.377002,19.566699,121.943701,2,0.954545,0.97619,41.997787,0.607394
canonical2,,,100,12,112,96.983631,11.67436,108.657991,2,0.928571,0.961538,11.729687,0.704299
UF00074471,,,116,10,126,113.129008,9.802252,122.93126,1,1,1,21.085702,0.778558
UF00073639,,,120,8,128,117.04491,7.876466,124.921377,1,1,1,5.174214,0.836404
UF00026212,,,74,52,126,72.091634,50.94792,123.039554,3,0.880597,0.937853,22.103068,0.202581
UF00026211,,,75,52,127,72.995331,50.922577,123.917908,3,0.880597,0.937853,24.142702,0.204762
UF00073640,,,119,6,125,115.864885,5.888636,121.753521,1,1,1,1.178114,0.879761
UF00026210,,,87,45,132,84.563823,43.85738,128.421202,2,0.909091,0.95,75.771986,0.291714
UF00049560,,,75,52,127,73.085356,50.808596,123.893952,3,0.904762,0.953216,81.567549,0.224474
UF00073602,,,75,55,130,73.053296,53.857774,126.91107,3,0.855263,0.920513,31.50358,0.190176
UF00053424,,,77,46,123,74.88833,44.915183,119.803513,3,0.868852,0.930818,34.613252,0.252948
UF00073546,,,34,92,126,33.019021,89.923616,122.942636,3,0.852713,0.916667,43.400537,0.032289
UF00073591,,,72,58,130,70.056684,56.679477,126.736161,2,0.891892,0.939394,63.841433,0.169327
UF00073612,,,90,42,132,87.775599,41.006431,128.78203,2,0.956522,0.977273,66.749141,0.313373
UF00074461,,,103,17,120,100.203693,16.566638,116.770331,1,1,1,109.814409,0.658827
UF00074442,,,108,27,135,105.363909,26.38793,131.75184,2,0.935484,0.965517,167.193278,0.520498
UF00028212,,,56,62,118,54.31217,60.427894,114.740064,3,0.858824,0.922374,129.466512,0.13651
UF00073615,,,108,28,136,105.027364,27.352398,132.379763,2,0.868421,0.924242,45.997303,0.490957
UF00073550,,,40,86,126,38.814904,83.992936,122.80784,3,0.845528,0.911859,36.217583,0.044862
UF00072796,,,25,100,125,24.247771,97.517788,121.765559,2,0.852113,0.913223,48.263202,0.019319
UF00073642,,,117,6,123,114.006648,5.899031,119.90568,1,1,1,1.012693,0.877886
UF00073606,,,82,46,128,79.828027,44.97819,124.806217,3,0.857143,0.92284,35.956664,0.24016
UF00073570,,,56,73,129,54.257368,71.144979,125.402347,2,0.861386,0.91954,41.514739,0.095153
UF00073579,,,60,68,128,58.358878,66.505477,124.864355,3,0.845361,0.912602,38.163795,0.10282
UF00073590,,,70,59,129,67.987839,57.620459,125.608299,2,0.883117,0.933824,33.916485,0.162098
UF00073618,,,104,28,132,101.123833,27.316349,128.440182,2,0.868421,0.924242,44.670231,0.489434
UF00073559,,,50,80,130,48.64339,78.276194,126.919584,2,0.863636,0.921053,49.182691,0.06361
UF00073555,,,37,87,124,35.878848,84.736604,120.615452,2,0.859504,0.918269,25.094265,0.041535
UF00073567,,,52,73,125,50.525229,71.373332,121.89856,3,0.833333,0.903704,23.471912,0.077585
UF00073616,,,102,28,130,99.449085,27.369393,126.818478,2,0.868421,0.924242,19.642535,0.47718
UF00074475,,,122,4,126,118.865777,3.923459,122.789236,1,1,1,1.318746,0.934943
UF00073629,,,94,38,132,91.458348,37.030798,128.489146,2,0.895833,0.94186,42.619663,0.352179
UF00074464,,,91,13,104,88.254327,12.63891,100.893237,2,0.882353,0.933333,2.384192,0.650329
UF00073563,,,52,79,131,50.544969,77.217048,127.762017,2,0.869159,0.924731,54.130657,0.072571
UF00073571,,,59,73,132,57.221634,71.246504,128.468138,2,0.861386,0.91954,54.136434,0.098312
UF00073589,,,56,59,115,54.282982,57.371311,111.654293,3,0.871795,0.931373,38.398465,0.14705
UF00073545,,,37,97,134,35.927176,94.746274,130.67345,2,0.894309,0.940909,95.172136,0.034449
UF00073548,,,37,93,130,35.927318,90.645394,126.572712,2,0.890756,0.938679,57.725682,0.037465
UF00074476,,,115,4,119,111.905102,3.917065,115.822167,1,1,1,0.517414,0.917057
UF00073613,,,68,40,108,66.083571,38.777473,104.861043,2,0.9,0.944444,6.081832,0.273701
UF00073647,,,92,32,124,89.282044,31.168761,120.450805,2,0.863636,0.921053,54.72394,0.398419
UF00073633,,,82,30,112,79.689535,29.190917,108.880453,2,0.875,0.928571,16.962619,0.392663
UF00073628,,,87,37,124,84.71604,36.036464,120.752504,2,0.877551,0.930233,10.439711,0.340197
UF00073607,,,80,45,125,77.858269,43.912415,121.770683,3,0.854839,0.921384,20.124959,0.254941
UF00074477,,,109,2,111,105.82014,1.948626,107.768766,1,1,1,0,0.942903
UF00073622,,,88,39,127,85.444114,37.988333,123.432447,2,0.914894,0.953488,36.329862,0.34343
UF00073584,,,60,64,124,58.265865,62.442107,120.707973,3,0.824742,0.897917,20.639109,0.111386
UF00073604,,,77,48,125,74.903135,46.857946,121.761081,3,0.850746,0.918129,13.744105,0.226349
UF00072784,,,21,108,129,20.372004,105.172114,125.544118,2,0.86,0.918605,78.002999,0.012698
UF00028231,,,60,61,121,58.162178,59.406914,117.569092,3,0.833333,0.904444,18.116768,0.127616
UF00074443,,,104,23,127,101.028547,22.41822,123.446767,2,0.925926,0.96,17.921236,0.557541
UF00074450,,,102,19,121,98.95056,18.480969,117.431529,2,0.88,0.931818,10.692357,0.572156
UF00073544,,,28,91,119,27.088528,88.584025,115.672552,3,0.835821,0.904762,23.333294,0.025649
UF00072767,,,11,114,125,10.689233,111.076502,121.765735,2,0.839286,0.904255,16.316729,0.005024
UF00073566,,,49,74,123,47.369,71.86026,119.22926,2,0.849057,0.911111,36.568823,0.076131
UF00072765,,,11,116,127,10.659128,112.999469,123.658597,3,0.828571,0.898851,57.373938,0.00467
UF00073547,,,34,86,120,32.901476,83.881581,116.783057,3,0.829457,0.900312,17.489447,0.033925
UF00073608,,,63,42,105,61.21478,40.773579,101.988359,3,0.847458,0.916667,3.821644,0.260265
UF00073605,,,65,46,111,63.10757,44.698311,107.805881,3,0.826087,0.900585,5.540481,0.211618
UF00072810,,,16,91,107,15.488482,88.301396,103.789879,3,0.824818,0.899705,7.366637,0.013222
UF00074456,,,127,0,127,123.257214,0,123.257214,0,0,0,0,1
UF00074457,,,105,16,121,101.795011,15.541811,117.336822,2,0.863636,0.921053,8.18148,0.617104
UF00001347,,,1,124,125,0.969297,120.836028,121.805325,3,0.828877,0.898925,2.808659,0.000296
UF00073540,,,29,78,107,28.103783,75.585828,103.68961,3,0.804878,0.888889,20.178709,0.038913
UF00072802,,,25,106,131,24.294323,103.382491,127.676814,2,0.878571,0.930894,63.082804,0.016794
UF00072766,,,11,123,134,10.650925,119.813556,130.46448,2,0.868263,0.924138,66.961401,0.004822
UF00073543,,,33,97,130,31.932321,94.385368,126.317689,2,0.88189,0.933036,79.568807,0.028097
UF00074478,,,121,2,123,117.495654,1.952157,119.447812,1,1,1,1.272024,0.976522
UF00027048,,,63,66,129,60.90264,64.113826,125.016466,2,0.883721,0.934211,68.522611,0.122115
UF00073646,,,95,31,126,92.143,30.184376,122.327376,2,0.844444,0.907895,32.064417,0.404599
UF00073599,,,80,41,121,77.766037,39.905328,117.671365,3,0.833333,0.906667,9.073457,0.281572
UF00074462,,,111,11,122,107.685348,10.707228,118.392575,2,0.823529,0.892857,3.835853,0.697652
