htrc-id,pubcity,pubyear,title,oclc,language
None,London,1925,The Further Adventures of Robinson Crusoe ... Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.,559900563,None
None,London,1925,"Robinson Crusoe of York, mariner ... [Part 1.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.",559900547,None
None,London ,1925,"Robinson Crusoe of York, mariner ... [Part 1.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.",559900547,None
None,London,1923,The Life and Strange Surprising Adventures of Robinson Crusoe ... [Parts 1 and 2.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.,559900526,None
None,(Milan) ,1965,Robinson Crusoe,637524055,None
None,(Paris) ,1953,Robinson Crusoé : Illustrations de J. Pecnard.,459114738,None
None,[,1910,] 1910 Robinson Crusoe.,938475657,None
None,[Abbottsford ,20--,Robinson Crusoe,915141324,None
None,[American Printing House for the Blind] ,1873,"Robinson Crusoe. Presented to the American Printing House for the Blind by the Trustees of the Public Library of Kentucky. [Parts 1 and 2, abridged.].",559898490,None
None,[Amsterdam] ,2015,Robinson Crusoë,923347961,None
None,[Amsterdam] ,2015,De latere avonturen van Robinson Crusoë,923347679,None
None,[approximately ,1719,[Robinson Crusoe].,827196034,None
None,[Arganda ,2001,Robinson Crusoe,434378438,None
None,[Arganda ,2006,Robinson Crusoe,433960481,None
None,[Arteixo] ,2005,Robinson Crusoe,433883550,None
None,[Ashfield ,1993,"Robinson Crusoe : Macintosh 3.5"" floppy disc version",221287445,None
None,[Ashfield ,1993,Gulliver's travels,225941680,None
None,[Ashland ,2009,Robinson Crusoe,939678701,None
None,[Ashland] ,2005,Robinson Crusoe,1039415150,None
None,[Auckland ,1719,Robinson Crusoe,876886379,None
None,[Auckland ,1722,Moll Flanders : the fortunes and misfortunes of the famous Moll Flanders,881847146,None
None,[Auckland] ,2012,The history of the devil : as well ancient as modern,828793485,None
None,[Barcelona?] ,2008,Robinson Crusoe : versiones bilingües abreviadas y simplificadas,434100891,None
None,[Barcelona?] ,1991,Robinsón Crusoe,433494066,None
None,[Barcelona] ,1991,Robinson Crusoe,433420362,None
None,[Barcelona] ,1975,Robinson Crusoe,433851260,None
None,[Barcelona] ,1975,Robinson Crusoe,433851260,None
None,[Barcelona] ,2004,Robinson Crusoe,434282598,None
None,[Barcelona] ,2002,Robinson Crusoe,49670518,None
None,[Barcelona] ,2015,Robinson Crusoe,927843720,None
None,[Barcelona] ,2003,Robinson Crusoe,806444213,None
None,[Barcelona] ,1977,Robinson Crusoe,431525423,None
None,[Barcelona] ,2009,"Robinson Crusoe : versiones bilingües, abreviadas y simplificadas",733739511,None
None,[Barcelona] ,2009,Robinson Crusoe,733612767,None
None,[Barcelona] ,2005,Robinson Crusoe,433903518,None
None,[Barcelona] ,2005,Robinson Crusoe,433903518,None
None,[Barcelona] ,1962,Robinson Crusoe,433850900,None
None,[Barcelona] ,2016,Robinson Crusoe,966302607,None
None,[Barcelona] ,2001,Robinson Crusoe,434385694,None
None,[Barcelona] ,1999,Robinsón Crusoe,807596255,None
None,[Barcelona] ,1962,Robinson Crusoe : Cuento,433850903,None
None,[Baxter ,1990,Robinson Crusoe,154160570,None
None,[Bayrūt] ,2003,Rūbinsun Karūzū : ʻArabī-Inkilīzī,416692151,None
None,[Bayrūt] ,2003,Rūbinsun Karūzū : ʻArabī-Inkilīzī,416692151,None
None,[Beirut] ,1861,[Robinson Crusoe].,44768183,None
None,[Benares] ,1860,[Robinson Crusoe,54158770,None
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder ab 6,311069592,None
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder,638490588,None
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder,638490588,None
None,[Bilbao ,1992,Robinson Crusoe,434709362,None
None,[Bilbao ,1992,Robinson Crusoe,434709362,None
None,[Bilbao] ,1985,Robinson Crusoe,433393745,None
None,[Bilbao] ,1966,Robinson Crusoe,431461285,None
None,[Bilbao] ,1966,Robinson Crusoe,431461285,None
None,[Bilbao] ,1965,Robinson Crusoe,431460775,None
None,[Bilbao] ,1965,Robinson Crusoe : Novela,431460783,None
None,[Bilbao] ,1961,Robinson Crusoe : Novela,431460700,None
None,[Binghamton ,1899,Robinson Crusoe and his Bible : a book for young people and their friends.,61463559,None
None,[Birmingham] ,17--,"The life, and most strange adventures of Robinson Crusoe, of York, Marriner : giving an account how he was cast on shoar by shipwreck, none escaping but himself, on an uninhabited island on the coast of America, near to the mouth of the great river of Oroonoque, where he lived eight and twenty years till at length he was strangely deliver'd by pyrates, and brought home to his native country",5242338,None
None,[Boston] ,45 N,"The life and most surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years in an uninhabited island, on the coast of America, lying near the mouth of the great river of Oroonoque: having been cast on shore by shipwreck, wherein all the men were drowned but himself: as also, a relation how he was wonderfully delivered by pirates. The whole three volumes faithfully abridged.",931241381,None
None,[Boston] ,1909,Robinson Crusoe; a famous story told in brief.,67409791,None
None,[Bridlington] ,2004,Robinson Crusoe,749298287,None
