libcode,pubcity,pubyear,title,oclc,language
None,-,526,"""The Boys' Own Paper"" Office 526. The Further Adventures of Robinson Crusoe ... Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.",559900563,en
None,"""The Boys' Own Paper"" Office ",1925,"Robinson Crusoe of York, mariner ... [Part 1.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.",559900547,en
None,"""The Boys' Own Paper"" Office ",1925,"Robinson Crusoe of York, mariner ... [Part 1.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.",559900547,en
None,"""The Boy's Own Paper"" Office ",1923,The Life and Strange Surprising Adventures of Robinson Crusoe ... [Parts 1 and 2.] Edited and slightly abridged by C.H. Irwin. Illustrated by Stanley L. Wood.,559900526,en
None,(Milan) ,1965,Robinson Crusoe,637524055,en
None,(Paris) ,1953,Robinson Crusoé : Illustrations de J. Pecnard.,459114738,fr
None,[,1910,] 1910 Robinson Crusoe.,938475657,sv
None,[Abbottsford ,20--,Robinson Crusoe,915141324,en-Brai
None,[American Printing House for the Blind] ,1873,"Robinson Crusoe. Presented to the American Printing House for the Blind by the Trustees of the Public Library of Kentucky. [Parts 1 and 2, abridged.].",559898490,en
None,[Amsterdam] ,2015,De latere avonturen van Robinson Crusoë,923347679,nl
None,[Amsterdam] ,2015,Robinson Crusoë,923347961,nl
None,[approximately ,1719,[Robinson Crusoe].,827196034,en
None,[Arganda ,2001,Robinson Crusoe,434378438,es
None,[Arganda ,2006,Robinson Crusoe,433960481,es
None,[Arteixo] ,2005,Robinson Crusoe,433883550,gl
None,[Ashfield ,1993,"Robinson Crusoe : Macintosh 3.5"" floppy disc version",221287445,en
None,[Ashfield ,1993,Gulliver's travels,225941680,en
None,[Ashland ,2009,Robinson Crusoe,939678701,en
None,[Ashland] ,2005,Robinson Crusoe,1039415150,en
None,[Auckland ,1719,Robinson Crusoe,876886379,en
None,[Auckland ,1722,Moll Flanders : the fortunes and misfortunes of the famous Moll Flanders,881847146,en
None,[Auckland] ,2012,The history of the devil : as well ancient as modern,828793485,en
None,[Barcelona?] ,1991,Robinsón Crusoe,433494066,es
None,[Barcelona?] ,2008,Robinson Crusoe : versiones bilingües abreviadas y simplificadas,434100891,es
None,[Barcelona] ,1962,Robinson Crusoe,433850900,es
None,[Barcelona] ,1962,Robinson Crusoe : Cuento,433850903,es
None,[Barcelona] ,1975,Robinson Crusoe,433851260,es
None,[Barcelona] ,1975,Robinson Crusoe,433851260,es
None,[Barcelona] ,1977,Robinson Crusoe,431525423,en
None,[Barcelona] ,1991,Robinson Crusoe,433420362,es
None,[Barcelona] ,1999,Robinsón Crusoe,807596255,es
None,[Barcelona] ,2001,Robinson Crusoe,434385694,es
None,[Barcelona] ,2002,Robinson Crusoe,49670518,es
None,[Barcelona] ,2003,Robinson Crusoe,806444213,en
None,[Barcelona] ,2004,Robinson Crusoe,434282598,es
None,[Barcelona] ,2005,Robinson Crusoe,433903518,es
None,[Barcelona] ,2005,Robinson Crusoe,433903518,es
None,[Barcelona] ,2009,Robinson Crusoe,733612767,es
None,[Barcelona] ,2009,"Robinson Crusoe : versiones bilingües, abreviadas y simplificadas",733739511,en
None,[Barcelona] ,2015,Robinson Crusoe,927843720,es
None,[Barcelona] ,2016,Robinson Crusoe,966302607,es
None,[Baxter ,1990,Robinson Crusoe,154160570,en
None,[Bayrūt] ,2003,Rūbinsun Karūzū : ʻArabī-Inkilīzī,416692151,ar
None,[Bayrūt] ,2003,Rūbinsun Karūzū : ʻArabī-Inkilīzī,416692151,ar
None,[Beirut] ,1861,[Robinson Crusoe].,44768183,ar
None,[Benares] ,1860,[Robinson Crusoe,54158770,en
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder ab 6,311069592,de
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder,638490588,de
None,[Berlin] ,2009,Robinson Crusoe : Hörspiel für Kinder,638490588,de
None,[Bilbao ,1992,Robinson Crusoe,434709362,es
None,[Bilbao ,1992,Robinson Crusoe,434709362,es
None,[Bilbao] ,1961,Robinson Crusoe : Novela,431460700,es
None,[Bilbao] ,1965,Robinson Crusoe,431460775,es
None,[Bilbao] ,1965,Robinson Crusoe : Novela,431460783,es
None,[Bilbao] ,1966,Robinson Crusoe,431461285,es
None,[Bilbao] ,1966,Robinson Crusoe,431461285,es
None,[Bilbao] ,1985,Robinson Crusoe,433393745,es
None,[Binghamton ,1899,Robinson Crusoe and his Bible : a book for young people and their friends.,61463559,en
None,[Birmingham] ,17--,"The life, and most strange adventures of Robinson Crusoe, of York, Marriner : giving an account how he was cast on shoar by shipwreck, none escaping but himself, on an uninhabited island on the coast of America, near to the mouth of the great river of Oroonoque, where he lived eight and twenty years till at length he was strangely deliver'd by pyrates, and brought home to his native country",5242338,en
None,[Boston] ,1909,Robinson Crusoe; a famous story told in brief.,67409791,en
None,[Boston] ,45 N,"The life and most surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years in an uninhabited island, on the coast of America, lying near the mouth of the great river of Oroonoque: having been cast on shore by shipwreck, wherein all the men were drowned but himself: as also, a relation how he was wonderfully delivered by pirates. The whole three volumes faithfully abridged.",931241381,en
None,[Bridlington] ,2004,Robinson Crusoe,749298287,en
None,[Brooklyn ,23 L,"Mason's Story of Robinson Crusoe, : with an important catalogue for housekeepers, presented to all who call at the mammoth furniture and carpet warehouse, Cor. Bridge St. and Myrtle Avenue, Brooklyn.",874269557,en
None,[Brugge ; Utrecht] ,1967,Robinson Crusoë,907141920,nl
None,[București] Tineretuliu ,1959,Robinson Crusoe.,7296824,ro
None,[București] Tineretuliu ,1959,Robinson Crusoe.,7296824,ro
None,[Bucureşti] ,1964,Robinson Crusoe,317898604,ro
None,[Bucureşti] ,1964,Robinson Crusoe,317898604,ro
None,[Budapest] ,1960,"Robinson Crusoe yorki tengerész élete és különös, meglepő kalandjai : regény",908991789,hu
None,[Budapest] ,1996,Robinson : regény,450420341,hu
None,[Budapest] ,1997,Robinson Crusoe,456166199,hu
None,[Budapest] ,2011,Robinson Crusoe,909873167,hu
None,[Budapest] ,2017,Robinson Crusoe,1039661853,hu
None,[Buenos Aires] ,2006,Robinson Crusoe,71324017,es
None,[Cáceres] ,2004,Robinson Crusoe,433805528,es
None,[Cáceres] ,2004,Robinson Crusoe,803634756,es
None,[Cairo] ,193-,[Robinson Crusoe. 2d ed.].,647858496,ar
None,[Cambridge ,2013,Robinson Crusoe,864433973,en
None,[Castro Urdiales] ,2016,Robinson Crusoe,982657762,es
None,[Champaign ,2007,Robinson Crusoe,229892140,en
None,[Charleston ,2009,The life and adventures of Robinson Crusoe,522319349,en
None,[Charleston ,2009,The life and strange adventures of Robinson Crusoe. [Vol. 1],703889081,en
None,[Charleston ,2010,The further adventures of Robinson Crusoe. vol. IV,893566714,en
None,[Chatham] ,2000,Robinson Crusoe,55751799,en
None,[Chevron] ,1974,Robinson Crusoe,778119680,nl
None,[Chile] ,2001,Robinson Crusoe,55388715,es
None,[Claremont ,2018,Robinson Crusoe,1037894633,en
None,[Colombia] ,2008,Robinson Crusoe,1039111264,es
None,[Constantinople] ,1879,[Robinson Crusoe,702339246,hy
None,[Conty] ,1974,Robinson Crusoe,433851218,fr
None,[Copenhagen] ,1928,"Robinson Crusoes Liv og Eventyr. Oversat af Harriet Oppenhejm, etc.",559888937,da
None,[Darlington] ,1790,"The life, and most strange adventures, of Robinson Crusoe, of the city of York mariner. Giving an account how he was cast on shore by ship wreck ... on an uninhabited island, on the coast of America near the mouth of the great river, Oroonoque ...",316410599,en
None,[East Olympia ,2005,Robinson Crusoe : the further adventures,712037755,en
None,[East Olympia ,2005,Robinson Crusoe : the complete story,712041905,en
None,[Évreux] ,22] ,obinson Crusoé : [Life and adventures of Robinson Crusoe] ... Illustrations ... par Jean Gourmelin.,463199406,fr
None,[Évry] (,7 Pl, Copernic 7 Pl Robinson Crusoé,467830907,fr
None,[England?] ,1875,The story of Roboinson Crusoe.,317615646,en
None,[England?] ,1900,[Robinson Crusoe toy theatre set].,700043319,en
None,[England?] ,1900,[Robinson Crusoe toy theatre set].,700043319,en
None,[England?] ,2013,The complete life of Robinson Crusoe,863624282,en
None,[England?] ,2013,The complete life of Robinson Crusoe,863624282,en
None,[England] ,1898,Robinson Crusoe (abridged) in stenotypy.,300581568,en
None,[Erridge] ,1995,Robinson Crusoe,150215933,en
None,[Erscheinungsort ,20,obinson Crusoë,246038828,nl
None,[Erscheinungsort ,20,obinson Crusoe,246050788,nl
None,[Erscheinungsort ,1950,Robinson Crusoe,931228875,de
None,[Erscheinungsort ,1977,Robinson Crusoe,932265372,en
None,[Erscheinungsort ,2014,Robinson Crusoe,881364667,de
None,[Erscheinungsort ,2016,Robinson Crusoe (Illustrierte Ausgabe) Abenteuer-Klassiker,1020319236,de
None,[Erscheinungsort nicht ermittelbar] ,2011,Robinson Crusoe,857275081,de
None,[Erscheinungsort nicht ermittelbar] ,2012,Robinson Crusoe (Illustrierte Ausgabe) : Neu bearbeitete Übersetzung,857648990,de
None,[Erscheinungsort nicht ermittelbar] ,2014,Robinson Crusoe : Neu bearbeitete Übersetzung,893528853,de
None,[Erscheinungsort nicht ermittelbar] ,2014,Robinson Crusoe : Neu bearbeitete Übersetzung,893528853,de
None,[Erscheinungsort nicht ermittelbar] ,189-,Robinson Crusoe,249375006,es
None,[Estella] ,1971,Robinson Crusoe,433851088,en
None,[Eugene OR] University of Oregon ,1999,Robinson Crusoe,229016467,en
None,[Fairfax ,2009,Robinson Crusoe,655842550,en
None,[Farmington Hills ,2005,"A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe : at the Theatre-Royal, Drury-Lane. (Taken from the original story.).",690206716,en
None,[Farmington Hills ,2005,"The wonderful life, and surprizing adventures of that renowned hero, Robinson Crusoe, who lived twenty-eight years on an uninhabited island, which he afterwards colonised",690213867,en
None,[Farmington Hills ,2005,"The wonderful life, and surprizing adventures of that renowned hero, Robinson Crusoe, who lived twenty-eight years on an uninhabited island, which he afterwards colonised",690213867,en
None,[Farmington Hills ,2005,"The farther adventures of Robinson Crusoe : being the second and last part of his life, and of the strange surprising account of his travels round three parts of the globe. Written by himself.",690222367,en
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner. Containing a full and particular account ... Faithfully epitomized from the three volumes.",690230980,en
None,[Farmington Hills ,2005,"The farther adventures of Robinson Crusoe : being the second and last part of his life, and strange surprizing accounts of his travels round three parts of the globe. Written by himself. The second edition. To which is added a map.",690236017,en
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd and set forth with cuts proper to the subject.",690237038,en
None,[Farmington Hills ,2005,"The history of the most remarkable life, and extraordinary adventures, of the truly honourable Colonel Jaque : vulgarly call'd, Colonel Jack; who was born a gentleman, put apprentice to a pick-pocket, flourish'd six and twenty years as a thief, was then kidnapp'd to Virginia: ... Written by the author of Robinson Crusoe.",690356297,en
None,[Farmington Hills ,2005,"The history of the most remarkable life, and extraordinary adventures, of the truly honourable Colonel Jaque : vulgarly call'd, Colonel Jack; who was born a gentleman, put apprentice to a pick-pocket, flourish'd six and twenty years as a thief, was then kidnapp'd to Virginia: ... Written by the author of Robinson Crusoe.",690356297,en
None,[Farmington Hills ,2005,"The life, and strange surprizing adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river of Oroonoque; ... Written by himself.",690359475,en
None,[Farmington Hills ,2005,Serious reflections during the life and surprising adventures of Robinson Crusoe : with his vision of the angelick world. Written by himself.,690359508,en
None,[Farmington Hills ,2005,"The life, and strange surprizing adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359519,en
None,[Farmington Hills ,2005,"The whole life and strange surprising adventures of Robinson Crusoe : of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359525,en
None,[Farmington Hills ,2005,"The life and strange surprising adventures of Robinson Crusoe : of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; ... Written by himself.",690359549,en
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. In two volumes. By Daniel Defoe,690359568,en
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. In two volumes. By Daniel Defoe,690359568,en
None,[Farmington Hills ,2005,"The life and surprising adventures of Robinson Crusoe : including an account of his shipwreck, and residence for twenty eight years on an unknown island, &c.; &c.; Written by himself.",690359584,en
None,[Farmington Hills ,2005,"The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. ... Written by himself. ... In two volumes.",690359593,en
None,[Farmington Hills ,2005,The life and adventures of Robinson Crusoe. By Daniel De Foe,690359606,en
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd.",690359641,en
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridg'd.",690359648,en
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures of Robinson Crusoe, of York; mariner. Containing a full and particular account how he lived eight and twenty years in an un-inhabited island on the coast of America: ... Faithfully epitomized from the three volumes, and adorned with cutts",690359658,en
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures of Robinson Crusoe, of York; mariner. Containing a full and particular account how he lived eight and twenty years in an un-inhabited island on the coast of America: ... Faithfully epitomized from the three volumes, and adorned with cutts",690359658,en
None,[Farmington Hills ,2005,"Voyages and travels: being the life and adventures of Robinson Crusoe, of York, mariner. Who lived eight and twenty years all alone in an unihabited [sic] island on the coast of America ... Written by himselfe",690359663,en
None,[Farmington Hills ,2005,"The wonderful life and most surprizing adventures of Robinson Crusoe, of York, mariner. Containing a full and particular account how he lived eight and twenty years in an uninhabited island, on the coast of America; ... Faithfully epitomized from the three volumes",690359684,en
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner; who lived eight and twenty years in an uninhabited island on the coast of America, lying near the mouth of the great river of Oroonoque: ... The whole three volumes faithfully abridged.",690359721,en
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner. Who lived twenty-eight years in an uninhabited island on the continent of America, lying near the mouth of the great river Oronooko [sic].",690359727,en
None,[Farmington Hills ,2005,"The life and most surprising adventures of Robinson Crusoe : of York, mariner, who lived twenty-eight years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoko.",690359761,en
None,[Farmington Hills ,2005,"The life and most surprizing adventures of Robinson Crusoe : of York, mariner; who lived eight-and-twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. ... Complete in one volume.",690359779,en
None,[Farmington Hills ,2005,"The sureprsing [sic] life, and most strange adventures of Robinson Crusoe, of the city of York, mariner, giving an account how he was cast on shore by shipwreck ... on an uninhabited island on the coast of America, near the mouth of the great river Oroonoque, where he lived twenty eight years",690359867,en
None,[Farmington Hills ,2005,"The wonderful life and most surprizing adventures of Robinson Crusoe, of York, mariner: containing a full and particular account of the loss of his ship in a storm ... Faithfully abridged from the three volumes, and adorned with an entire new set of cuts",690359878,en
None,[Farmington Hills ,2005,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-ight [sic] years in an uninhabited island on the coast of America: ... Written originally by himself",690359893,en
None,[Farmington Hills ,2005,"The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. ... Written by himself.",690361260,en
None,[Farmington Hills ,2005,The life and most surprising adventures of Robinson Crusoe,690448760,en
None,[Farmington Hills ,2005,"The wonderful life, and most surprizing adventures, of Robinson Crusoe, of York, mariner. Containing a full and particular account how he lived eight and twenty years in an uninhabited island, on the coast of America; ... Faithfully epitomized from the three volumes, and adorn'd with cuts",690466929,en
None,[Farmington Hills ,2005,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner : Containing a full and particular account how his ship was lost in a storm, and all his companions were drowned, and he only was cast upon the shore by the wreck; and how he lived eight and twenty years in an uninhabited island, on the coast of America, &c.; With a true relation how he was at last miraculously preserved by pirates, &c.; &c.; &c.;",690470212,fi
None,[Finland] ,19--,Robinson Crusoen.,40797078,de
None,[Frankfurt ,1971,"Robinson Crusoe; oder, kleine, für die Jugend äuszüge aus desses merkwürdigen Reisen.",20029294,de
None,[Frankfurt a.M.] ,1971,"Robinson Crusoe : oder kleine, für die Jugend äusserst anziehende und nützliche Auszüge aus dessen merkwürdigen Reisen mit 24 colorierten Bildern",884520029,de
None,[Fürth ,1961,Robinson Crusoe : [Aus d. Engl.],772650270,en
None,[Gainesville ,2004,"Daniel Defoe's ""Robinson Crusoe"" & the Robinsonades.",244440496,en
None,[Garfield Heights ,2012,"The king of pirates : being an account of the famous enterprises of Captain Avery, the mock King of Madagascar",872368852,en
None,[Great Britain] ,1930,Robinson Crusoe,850166330,en
None,[Great Britain] ,1930,Robinson Crusoe,850166330,vi
None,[Hải Phòng] ,2002,Robinson Crusoe,65523379,en
None,[Halifax ,182-,"The life and surprising adventures of Robinson Crusoe; including an account of his shipwreck, and residence for twenty eight years on an unknown island ...",68199997,de
None,[Hamburg] ,2010,Robinson Crusoe,501314919,en
None,[Hollywood ,2011,Robinson Crusoe,810277044,da
None,[Horsens] ,2015,Robinson Crusoe,930496595,en
None,[Ismaning] ,2002,Activity book Robinson Crusoe,254120180,en
None,[Ismaning] ,2002,Robinson Crusoe : level 2 / [3] Activity book.,644307474,en
None,[Ismaning] ,2007,Robinson Crusoe : level 2 / [1] Buch.,645548908,en
None,[Ismaning] ,2007,Robinson Crusoe : level 2 / [2] CD.,645548910,tr
None,[Istanbul] ,1291,Tercüme-i Robenson,22154397,tr
None,[Istanbul] ,1977,Robinson Crusoe,436974211,tr
None,[Istanbul] ,1983,Robinson Crusoe,68358051,tr
None,[Istanbul] ,1983,Robinson Crusoe,68358051,da
None,[København] ,1974,Robinson Crusoe,258115882,da
None,[København] ,1989,Robinson Crusoe,245666399,da
None,[København] ,1993,Robinson Crusoe,443507277,da
None,[København] ,1993,Robinson Crusoe,443507277,da
None,[Kbh.] ,1969,Robinson Crusoe,466805679,da
