"id","title","year","language","authors"
"mdp.39015078549899","The life and surprising adventures of Robinson Crusoe, of York, mariner: who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque. With an account of his travels round three parts of the globe. Written by himself ...","1810","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550889","The life and surprising adventures of Robinson Crusoe, of York, mariner. Written by himself.","1859","eng","Defoe, Daniel 1661?-1731; Keene, Charles 1823-1891 illus"
"mdp.39015078551978","Robinson Crusoe, edited after the original editions, with a biographical introduction by Henry Kingsley ...","1905","eng","Defoe, Daniel 1661?-1731; Kingsley, Henry 1830-1876 ed"
"mdp.39015078548321","Serious reflections during the life and surprising adventures of Robinson Crusoe: with his Vision of the angelick world. Written by himself.","1720","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552828","The life and adventures of Robinson Crusoe, of York, mariner. Including an account of his travels round three parts of the globe. With a memoir of the author and an essay on his genius, by Sir Walter Scott. Complete in one volume, with illustrations from original designs.","1877","eng","Defoe, Daniel 1661?-1731; Griset, Ernest Henry 1844-1907 illus; Scott, Walter 1771-1832; Ballantyne, John 1774-1821"
"mdp.39015078553917","Het leven en de wonderbaare gevallen van Robinson Crusoe, behelzende onder andere ongehoorde uitkomsten een verhaal van zyn agt en twintig jaarig verblyf op een onbewoond eiland, gelegen op de kust van America by de mond van de rivier Oronooque. Alles door liem zelfs beschreven, nu uit het engels vertaald, en met figuren benevens een nette kaart zyner zwerving verrykt ...","1722","dut","Defoe, Daniel 1661?-1731"
"mdp.39015078557280","La vie et les avantures surprenantes de Robinson Cruso?, contenant son retour dans son isle, ses autres nouveaux voyages & ses r?flexions. Traduit de l'anglois ...","1761","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078558130","Aventures surprenantes de Robinson Cruso?, traduites de l'anglais.","1819","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint, tr; Effen, Justus van 1684-1735 tr; Griffet de Labaume, Antoine Gilbert 1756-1805"
"mdp.39015078557041","La vie et les avantures surprenantes de Robinson Crusoe, contenant, entre autres ?v?nemens, le s?jour qu'il a fait pendant vingt-huit ans dans une ile d?serte situ?e sur la c?te de l'Am?rique, pr?s l'embouchure de la grande rivi?re Oroonoque. Le tout ?crit par lui-m?me. Traduit de l'anglois ...","1770","fre","Defoe, Daniel 1661?-1731; Picart, Bernard 1673-1733 engr; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078549659","The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. With an account of his travels round three parts of the globe. Written by himself ...","1790","eng","Defoe, Daniel 1661?-1731"
