htrc-id,pubcity,pubyear,title,oclc,language,hasText,latitude,longitude
UF00053424,London (26 Paternoster Square),1884,The adventures of Robinson Crusoe,30762727,English,y,51.51455775,-0.0991957225346424
UF00072752,London,1821,The adventures of Robinson Crusoe,10424758,English,y,51.5073219,-0.1276474
UF00072755,New Haven++Charleston,1825,The adventures of Robinson Crusoe ,27606551,English,y,None,None
UF00072756,London,1826,The Adventures of Robinson Crusoe,13539148,English,y,51.5073219,-0.1276474
UF00073547,London,1862,The adventures of Robinson Crusoe,27943237,English,y,51.5073219,-0.1276474
UF00073550,London (248 Strand W.C.),1864,The adventures of Robinson Crusoe ,4676531,English,y,51.5190583,0.1986001
UF00027048,London,1873,Adventures of Robinson Crusoe,30060943,English,y,51.5073219,-0.1276474
UF00073601,London (112 Fleet Street E.C.),1880,The adventures of Robinson Crusoe,28050595,English,y,None,None
UF00073603,London (Warwick House Salisbury Square E.C.)++New York (Bond Street),1886,The adventures of Robinson Crusoe,28050563,English,y,None,None
UF00074465,"Racine, Wisconsin",1917,The Adventures of Robinson Crusoe,13769389,English,y,42.7260523,-87.7825242
UF00074467,"Springfield, Mass",1927,The Adventures of Robinson Crusoe,26812736,English,y,42.1014831,-72.589811
UF00074469,Chicago++New York,1930,The Adventures of Robinson Crusoe,26812731,English,y,None,None
UF00073634,London,1894,"The Adventures of Robinson Crusoe of York, mariner",28050560,English,y,51.5073219,-0.1276474
UF00065533,New York,1875,Aunt Louisa's oft told tales,13858400,English,y,40.7306458,-73.9866136
UF00053169,New York,1883,The ball of the vegetables and other stories in prose and verse,54916189,English,y,40.7306458,-73.9866136
UF00065442,New York,1888.5,The boy travellers in Australasia,5757600,English,y,40.7306458,-73.9866136
UF00072761,London (8 Cloth Fair West Smithfield),1835,"Bysh's edition of the life of Robinson Crusoe, of York, mariner ",27783760,English,y,None,None
UF00056249,London,1888,The children of Sunflower Farm,70294469,English,y,51.5073219,-0.1276474
UF00072762,Boston,1830,"The children's Robinson Crusoe or, The remarkable adventures of an Englishman ",12258790,English,y,42.3604823,-71.0595678
UF00026208,London (Paternoster Row)++New York,1881,The cockatoo's story,25502787,English,y,None,None
UF00074123,New York,1885,The Crusoes of Guiana,24802623,English,y,40.7306458,-73.9866136
UF00050313,New York,1882,The four MacNicols,2956897,English,y,40.7306458,-73.9866136
UF00023492,New York,1880,The history of Robinson Crusoe,28767204,English,y,40.7306458,-73.9866136
UF00026644,New York,1872,The history of Robinson Crusoe ,30060949,English,y,40.7306458,-73.9866136
UF00073577,New York,1875,The history of Robinson Crusoe,28121061,English,y,40.7306458,-73.9866136
AA00021433,"Windsor, Vt.",1815,History of Robinson Crusoe,16528332,English,y,43.5480465,-72.5944539
UF00047786,London++New York,1879,The Italian boy,61514805,English,y,None,None
UF00073639,London,1937,The Life & adventures of Robinson Crusoe,30874902,English,y,51.5073219,-0.1276474
UF00001680,,1850,"Life and Adventures of Alexander Selkirk, The Real Robinson Crusoe",5344675,,y,52.143222,6.2044441
UF00073630,London++Glasgow++Manchester,1891,Thelife and adventures of Robinson Crusoe,26966691,English,y,None,None
UF00073629,London++New York,1890,The life and adventures of Robinson Crusoe,27022435,English,y,None,None
