libcode,pubcity,pubyear,title,oclc,language
http://ufdc.ufl.edu/UF00053424,London (26 Paternoster Square),1884,The adventures of Robinson Crusoe,30762727,English
http://ufdc.ufl.edu/UF00072752,London,1821,The adventures of Robinson Crusoe,10424758,English
http://ufdc.ufl.edu/UF00072755,New Haven++Charleston,1825,The adventures of Robinson Crusoe ,27606551,English
http://ufdc.ufl.edu/UF00072756,London,1826,The Adventures of Robinson Crusoe,13539148,English
http://ufdc.ufl.edu/UF00073547,London,1862,The adventures of Robinson Crusoe,27943237,English
http://ufdc.ufl.edu/UF00073550,London (248 Strand W.C.),1864,The adventures of Robinson Crusoe ,4676531,English
http://ufdc.ufl.edu/UF00027048,London,1873,Adventures of Robinson Crusoe,30060943,English
http://ufdc.ufl.edu/UF00073601,London (112 Fleet Street E.C.),1880,The adventures of Robinson Crusoe,28050595,English
http://ufdc.ufl.edu/UF00073603,London (Warwick House Salisbury Square E.C.)++New York (Bond Street),1886,The adventures of Robinson Crusoe,28050563,English
http://ufdc.ufl.edu/UF00074465,"Racine, Wisconsin",1917,The Adventures of Robinson Crusoe,13769389,English
http://ufdc.ufl.edu/UF00074467,"Springfield, Mass",1927,The Adventures of Robinson Crusoe,26812736,English
http://ufdc.ufl.edu/UF00074469,Chicago++New York,1930,The Adventures of Robinson Crusoe,26812731,English
http://ufdc.ufl.edu/UF00073634,London,1894,"The Adventures of Robinson Crusoe of York, mariner",28050560,English
http://ufdc.ufl.edu/UF00065533,New York,1875,Aunt Louisa's oft told tales,13858400,English
http://ufdc.ufl.edu/UF00053169,New York,1883,The ball of the vegetables and other stories in prose and verse,54916189,English
http://ufdc.ufl.edu/UF00065442,New York,1888.5,The boy travellers in Australasia,5757600,English
http://ufdc.ufl.edu/UF00072761,London (8 Cloth Fair West Smithfield),1835,"Bysh's edition of the life of Robinson Crusoe, of York, mariner ",27783760,English
http://ufdc.ufl.edu/UF00056249,London,1888,The children of Sunflower Farm,70294469,English
http://ufdc.ufl.edu/UF00072762,Boston,1830,"The children's Robinson Crusoe or, The remarkable adventures of an Englishman ",12258790,English
http://ufdc.ufl.edu/UF00026208,London (Paternoster Row)++New York,1881,The cockatoo's story,25502787,English
http://ufdc.ufl.edu/UF00074123,New York,1885,The Crusoes of Guiana,24802623,English
http://ufdc.ufl.edu/UF00050313,New York,1882,The four MacNicols,2956897,English
http://ufdc.ufl.edu/UF00023492,New York,1880,The history of Robinson Crusoe,28767204,English
http://ufdc.ufl.edu/UF00026644,New York,1872,The history of Robinson Crusoe ,30060949,English
http://ufdc.ufl.edu/UF00073577,New York,1875,The history of Robinson Crusoe,28121061,English
http://ufdc.ufl.edu/AA00021433,"Windsor, Vt.",1815,History of Robinson Crusoe,16528332,English
http://ufdc.ufl.edu/UF00047786,London++New York,1879,The Italian boy,61514805,English
http://ufdc.ufl.edu/UF00073639,London,1937,The Life & adventures of Robinson Crusoe,30874902,English
http://ufdc.ufl.edu/UF00001680,,1850,"Life and Adventures of Alexander Selkirk, The Real Robinson Crusoe",5344675,
http://ufdc.ufl.edu/UF00073630,London++Glasgow++Manchester,1891,Thelife and adventures of Robinson Crusoe,26966691,English
http://ufdc.ufl.edu/UF00073629,London++New York,1890,The life and adventures of Robinson Crusoe,27022435,English
http://ufdc.ufl.edu/UF00073591,London++New York,1879,TheLife and adventures of Robinson Crusoe,25143812,English
http://ufdc.ufl.edu/UF00074451,New York,1905,The life and adventures of Robinson Crusoe,30345701,English
http://ufdc.ufl.edu/UF00073636,New York (9 Lafayette Place)++London++Glasgow,1895,The life and adventures of Robinson Crusoe,26897888,English
http://ufdc.ufl.edu/UF00073606,London (Paternoster Row),1883,The life and adventures of Robinson Crusoe,7286083,English
http://ufdc.ufl.edu/UF00073610,New York,1887,The Life and adventures of Robinson Crusoe,28229589,English
http://ufdc.ufl.edu/UF00073615,New York ( 9 Lafayette Place)++London++Manchester,1895,The Life and adventures of Robinson Crusoe,28229592,English
http://ufdc.ufl.edu/UF00073618,London (Broadway House Ludgate Hill),1895,The life and adventures of Robinson Crusoe,5181815,English
http://ufdc.ufl.edu/UF00073616,New York,1895,Life and adventures of Robinson Crusoe ,1276545,English
http://ufdc.ufl.edu/UF00073612,Chicago,1888,Life and adventures of Robinson Crusoe ,22223164,English
http://ufdc.ufl.edu/UF00028231,London ( Paternoster Row)++Edinburgh++New York,1874,Life and adventures of Robinson Crusoe,26812742,English
http://ufdc.ufl.edu/UF00073587,New York ( 779 Broadway ),1879,The Life and adventures of Robinson Crusoe,27966249,English
