,UFDC code,title,publication date,location,oclc,language
0,http://ufdc.ufl.edu/UF00053424,The adventures of Robinson Crusoe,1884,[' London '],,
1,http://ufdc.ufl.edu/UF00072752,The adventures of Robinson Crusoe,1821,[' London '],,
2,http://ufdc.ufl.edu/UF00072755,The adventures of Robinson Crusoe ,1825,"[' New Haven ', ' Charleston ']",,
3,http://ufdc.ufl.edu/UF00072756,The Adventures of Robinson Crusoe,1826,[' London '],,
4,http://ufdc.ufl.edu/UF00073547,The adventures of Robinson Crusoe,1862,[' London '],,
5,http://ufdc.ufl.edu/UF00073550,The adventures of Robinson Crusoe ,1864,[' London '],,
6,http://ufdc.ufl.edu/UF00027048,Adventures of Robinson Crusoe,1873,[' London '],,
7,http://ufdc.ufl.edu/UF00073601,The adventures of Robinson Crusoe,1880,[' London '],,
8,http://ufdc.ufl.edu/UF00073603,The adventures of Robinson Crusoe,1886,"[' London ', 'New York']",,
9,http://ufdc.ufl.edu/UF00074465,The Adventures of Robinson Crusoe,1917,[' Racine'],,
10,http://ufdc.ufl.edu/UF00074467,The Adventures of Robinson Crusoe,1927,[' Springfield MA '],,
11,http://ufdc.ufl.edu/UF00074469,The Adventures of Robinson Crusoe,1930,"[' Chicago, New York ']",,
12,http://ufdc.ufl.edu/UF00073634,"The Adventures of Robinson Crusoe of York, mariner",1894,[' London '],,
13,http://ufdc.ufl.edu/UF00065533,Aunt Louisa's oft told tales,1875,[' New York '],,
14,http://ufdc.ufl.edu/UF00053169,The ball of the vegetables and other stories in prose and verse,1883,[' New York '],,
15,http://ufdc.ufl.edu/UF00065442,The boy travellers in Australasia,1888.5,[' New York '],,
16,http://ufdc.ufl.edu/UF00072761,"Bysh's edition of the life of Robinson Crusoe, of York, mariner ",1835,[' London '],,
17,http://ufdc.ufl.edu/UF00056249,The children of Sunflower Farm,1888,[' London '],,
18,http://ufdc.ufl.edu/UF00072762,"The children's Robinson Crusoe or, The remarkable adventures of an Englishman ",1830,[' Boston '],,
19,http://ufdc.ufl.edu/UF00026208,The cockatoo's story,1881,[' London '],,
20,http://ufdc.ufl.edu/UF00074123,The Crusoes of Guiana,1885,[' New York '],,
21,http://ufdc.ufl.edu/UF00050313,The four MacNicols,1882,[' New York '],,
22,http://ufdc.ufl.edu/UF00023492,The history of Robinson Crusoe,1880,[' New York '],,
23,http://ufdc.ufl.edu/UF00026644,The history of Robinson Crusoe ,1872,[' New York '],,
24,http://ufdc.ufl.edu/UF00073577,The history of Robinson Crusoe,1875,[' New York '],,
25,http://ufdc.ufl.edu/AA00021433,History of Robinson Crusoe,1815,[' Windsor VT'],,
26,http://ufdc.ufl.edu/UF00047786,The Italian boy,1879,"[' London ', ' New York ']",,
27,http://ufdc.ufl.edu/UF00073639,The Life & adventures of Robinson Crusoe,1937,[' London '],,
28,http://ufdc.ufl.edu/UF00001680,"Life and Adventures of Alexander Selkirk, The Real Robinson Crusoe",1850,[' Philadelphia '],,
29,http://ufdc.ufl.edu/UF00073630,Thelife and adventures of Robinson Crusoe,1891,"[' London, Glasgow, Manchester ']",,
30,http://ufdc.ufl.edu/UF00073629,The life and adventures of Robinson Crusoe,1890,"[' London ;, New York ']",,
31,http://ufdc.ufl.edu/UF00073591,TheLife and adventures of Robinson Crusoe,1879,"[' London, New York ']",,
32,http://ufdc.ufl.edu/UF00074451,The life and adventures of Robinson Crusoe,1905,[' New York '],,
33,http://ufdc.ufl.edu/UF00073636,The life and adventures of Robinson Crusoe,1895,[' New York '],,
34,http://ufdc.ufl.edu/UF00073606,The life and adventures of Robinson Crusoe,1883,[' London '],,
35,http://ufdc.ufl.edu/UF00073610,The Life and adventures of Robinson Crusoe,1887,[' New York '],,
36,http://ufdc.ufl.edu/UF00073615,The Life and adventures of Robinson Crusoe,1895,[' New York '],,
37,http://ufdc.ufl.edu/UF00073618,The life and adventures of Robinson Crusoe,1895,[' London '],,
38,http://ufdc.ufl.edu/UF00073616,Life and adventures of Robinson Crusoe ,1895,[' New York '],,
39,http://ufdc.ufl.edu/UF00073612,Life and adventures of Robinson Crusoe ,1888,[' Chicago '],,
40,http://ufdc.ufl.edu/UF00028231,Life and adventures of Robinson Crusoe,1874,[' London '],,
41,http://ufdc.ufl.edu/UF00073587,The Life and adventures of Robinson Crusoe,1879,[' New York '],,
42,http://ufdc.ufl.edu/UF00073588,Life and adventures of Robinson Crusoe,1875,[' New York '],,
43,http://ufdc.ufl.edu/UF00074450,The life and adventures of Robinson Crusoe,1899,[' London '],,
44,http://ufdc.ufl.edu/UF00073575,Life and adventures of Robinson Crusoe,1875,[' New York '],,
45,http://ufdc.ufl.edu/UF00073563,The Life and adventures of Robinson Crusoe,1867,"[' Boston ', ' Concord NH ']",,
46,http://ufdc.ufl.edu/UF00073574,The Life and adventures of Robinson Crusoe,1869,[' London '],,
47,http://ufdc.ufl.edu/UF00073578,The Life and adventures of Robinson Crusoe,1870,[' New York '],,
48,http://ufdc.ufl.edu/UF00073602,Life and adventures of Robinson Crusoe,1880,[' New York '],,
49,http://ufdc.ufl.edu/UF00074471,Life and adventures of Robinson Crusoe,1932,"[' Chicago ;, New York ']",,
50,http://ufdc.ufl.edu/UF00074472,The life and adventures of Robinson Crusoe,1935,"[' Chicago ;, Akron Ohio ;, New York ']",,
51,http://ufdc.ufl.edu/UF00073599,The Life and adventures of Robinson Crusoe,1885,[' Edinburgh '],,
52,http://ufdc.ufl.edu/UF00074440,The Life and adventures of Robinson Crusoe ,1896,[' Chicago '],,
53,http://ufdc.ufl.edu/UF00074458,The Life and adventures of Robinson Crusoe,1907,[' London '],,
54,http://ufdc.ufl.edu/UF00074476,The Life and adventures of Robinson Crusoe.,1946,"[' Cleveland, New York ']",,
55,http://ufdc.ufl.edu/UF00074455,The Life and adventures of Robinson Crusoe,1903,[' Chicago '],,
56,http://ufdc.ufl.edu/UF00073592,The Life and adventures of Robinson Crusoe,1880,"[' London, New York ']",,
57,http://ufdc.ufl.edu/UF00074447,Life and adventures of Robinson Crusoe,1898,[' Boston '],,
58,http://ufdc.ufl.edu/UF00074452,The Life and adventures of Robinson Crusoe,1900,"[' London, New York ']",,
59,http://ufdc.ufl.edu/UF00096277,The life and adventures of Robinson Crusoe,1896,"[' Chicago, Chicago ']",,
60,http://ufdc.ufl.edu/UF00074461,The Life and adventures of Robinson Crusoe,1910,[' London '],,
61,http://ufdc.ufl.edu/UF00073614,The Life and adventures of Robinson Crusoe,1889,[' New York '],,
62,http://ufdc.ufl.edu/UF00026210,The life and adventures of Robinson Crusoe,1885,"[' London ;, and New York ']",,
63,http://ufdc.ufl.edu/UF00026211,The life and adventures of Robinson Crusoe,1881,[' London '],,
